x,l
http://vocab.getty.edu/aat/300127115,card photographs (photographs)
http://vocab.getty.edu/aat/300188795,copy prints
http://vocab.getty.edu/aat/300265164,boudoir photographs
http://vocab.getty.edu/aat/300249941,crystalotypes
http://vocab.getty.edu/aat/300265180,chromotypes (carbon prints)
http://vocab.getty.edu/aat/300127167,cameo prints
http://vocab.getty.edu/aat/300404082,calotype prints (positive prints)
http://vocab.getty.edu/aat/300127183,contact sheets
http://vocab.getty.edu/aat/300134728,color separation negatives
http://vocab.getty.edu/aat/300127186,ambrotypes (photographs)
http://vocab.getty.edu/aat/300448989,stereoscopic daguerreotypes
http://vocab.getty.edu/aat/300134769,composite photographs
http://vocab.getty.edu/aat/300127326,stanhopes (photographs)
http://vocab.getty.edu/aat/300127138,carbon prints
http://vocab.getty.edu/aat/300265148,flash mobs
http://vocab.getty.edu/aat/300047857,earthworks (sculpture)
http://vocab.getty.edu/aat/300417960,stained-glass windows
http://vocab.getty.edu/aat/300447381,āyudha
http://vocab.getty.edu/aat/300123431,editorial cartoons
http://vocab.getty.edu/aat/300178227,conversation pieces (portraits)
http://vocab.getty.edu/aat/300410375,selfies
http://vocab.getty.edu/aat/300264739,extreme close-ups
http://vocab.getty.edu/aat/300072984,bird's-eye perspectives
http://vocab.getty.edu/aat/300390574,multi-channel video installations
http://vocab.getty.edu/aat/300419346,brass rubbings
http://vocab.getty.edu/aat/300178308,cave paintings
http://vocab.getty.edu/aat/300179751,rock engravings
http://vocab.getty.edu/aat/300081067,drapery studies
http://vocab.getty.edu/aat/300081060,detail studies
http://vocab.getty.edu/aat/300395603,sunburst monstrances
http://vocab.getty.edu/aat/300395531,ash pyxes
http://vocab.getty.edu/aat/300100197,contour drawings (drawings)
http://vocab.getty.edu/aat/300100201,blind contour drawings (contour drawings)
http://vocab.getty.edu/aat/300298735,Agnus Deis (medallions)
http://vocab.getty.edu/aat/300069411,master drawings
http://vocab.getty.edu/aat/300404216,aquarelles (paintings)
http://vocab.getty.edu/aat/300298798,anconas
http://vocab.getty.edu/aat/300266198,Bézier curves
http://vocab.getty.edu/aat/300079783,conceptual drawings
http://vocab.getty.edu/aat/300034464,sinopie
http://vocab.getty.edu/aat/300266041,algorithmic art
http://vocab.getty.edu/aat/300072496,visionary architecture
http://vocab.getty.edu/aat/300132231,half-breadth plans
http://vocab.getty.edu/aat/300034021,axonometric projections (images)
http://vocab.getty.edu/aat/300419292,papel picado (visual works)
http://vocab.getty.edu/aat/300255216,alphabets (symbols)
http://vocab.getty.edu/aat/300310704,shaseiga
http://vocab.getty.edu/aat/300127008,<photographs by form>
http://vocab.getty.edu/aat/300047091,<sculpture by form>
http://vocab.getty.edu/aat/300264813,bisj
http://vocab.getty.edu/aat/300264447,agere Ifa
