x,l
http://vocab.getty.edu/aat/300387234,gold towns
http://vocab.getty.edu/aat/300008483,coastal towns
http://vocab.getty.edu/aat/300008479,hill towns
http://vocab.getty.edu/aat/300008482,river towns
http://vocab.getty.edu/aat/300000280,penal colonies
http://vocab.getty.edu/aat/300387325,Aboriginal reserves
http://vocab.getty.edu/aat/300386955,irregular satellites
http://vocab.getty.edu/aat/300387430,bouquets
http://vocab.getty.edu/aat/300432893,wedding bouquets
http://vocab.getty.edu/aat/300390606,ephemeral communities (plant or animal communities)
http://vocab.getty.edu/aat/300379282,ranger stations
http://vocab.getty.edu/aat/300008384,satellite cities
http://vocab.getty.edu/aat/300387214,civitates
http://vocab.getty.edu/aat/300008458,cathedral cities
http://vocab.getty.edu/aat/300387104,continental plates
http://vocab.getty.edu/aat/300386923,abyssal plains
http://vocab.getty.edu/aat/300386482,Daphne gnidium (species)
http://vocab.getty.edu/aat/300266125,Hindu religious building fixtures
http://vocab.getty.edu/aat/300447051,cētiyaghara
http://vocab.getty.edu/aat/300387658,natural bridges
http://vocab.getty.edu/aat/300386854,archipelagos
http://vocab.getty.edu/aat/300386883,pans (landforms)
http://vocab.getty.edu/aat/300386904,guyots
http://vocab.getty.edu/aat/300387712,continental shelves
http://vocab.getty.edu/aat/300387385,Galilean satellites
http://vocab.getty.edu/aat/300443611,roadsteads
http://vocab.getty.edu/aat/300445047,artificial shell islands
http://vocab.getty.edu/aat/300006566,rabbinical seminaries (buildings)
http://vocab.getty.edu/aat/300412066,huacas
http://vocab.getty.edu/aat/300380271,birth huts
http://vocab.getty.edu/aat/300380003,nests (animal architecture)
http://vocab.getty.edu/aat/300417947,stalactites
http://vocab.getty.edu/aat/300380087,Dryopteris (genus)
http://vocab.getty.edu/aat/300257766,hale pe'a
http://vocab.getty.edu/aat/300435480,Freycinetia (genus)
http://vocab.getty.edu/aat/300380400,Pandanaceae (family)
http://vocab.getty.edu/aat/300380416,Boswellia frereana (species)
http://vocab.getty.edu/aat/300380421,Hierochloe odorata (species)
http://vocab.getty.edu/aat/300311170,Haematoxylum campechianum (species)
http://vocab.getty.edu/aat/300435483,paepae pataka
http://vocab.getty.edu/aat/300013125,anthocyanin
http://vocab.getty.edu/aat/300400816,Hymenaea courbaril (species)
http://vocab.getty.edu/aat/300375635,Agathis australis (species)
http://vocab.getty.edu/aat/300375616,Agathis (genus)
http://vocab.getty.edu/aat/300380414,Boswellia (genus)
http://vocab.getty.edu/aat/300375621,Dracaena (genus)
http://vocab.getty.edu/aat/300375623,Canarium indicum (species)
http://vocab.getty.edu/aat/300387541,Aloe (genus)
http://vocab.getty.edu/aat/300375632,Tetraclinis articulata (species)
http://vocab.getty.edu/aat/300375637,Toxicodendron succedaneum (species)
http://vocab.getty.edu/aat/300375649,Euphorbia antisyphilitica (species)
http://vocab.getty.edu/aat/300375651,Copernicia prunifera (species)
http://vocab.getty.edu/aat/300375678,Papaver (genus)
http://vocab.getty.edu/aat/300375679,Papaver somniferum (species)
http://vocab.getty.edu/aat/300311138,Centaurea cyanus (species)
http://vocab.getty.edu/aat/300299080,biforate windows
http://vocab.getty.edu/aat/300446473,alaṁkāra-dēvatā
http://vocab.getty.edu/aat/300375484,Carex (genus)
http://vocab.getty.edu/aat/300375498,Sparganium (genus)
http://vocab.getty.edu/aat/300375481,Phragmites australis (species)
http://vocab.getty.edu/aat/300375487,Schoenoplectus acutus (species)
http://vocab.getty.edu/aat/300417669,Schoenoplectus californicus ssp. tatora (subspecies)
http://vocab.getty.edu/aat/300262602,Cyperus papyrus (species)
http://vocab.getty.edu/aat/300375488,Elymus repens (species)
http://vocab.getty.edu/aat/300375494,Hydrocharitaceae (family)
http://vocab.getty.edu/aat/300375490,Zostera (genus)
http://vocab.getty.edu/aat/300375493,Vallisneria (genus)
http://vocab.getty.edu/aat/300375497,Juncaceae (family)
http://vocab.getty.edu/aat/300375495,Juncus (genus)
http://vocab.getty.edu/aat/300375499,Cortaderia selloana (species)
http://vocab.getty.edu/aat/300375501,Nicotiana (genus)
http://vocab.getty.edu/aat/300375597,Hydrophyllaceae (family)
http://vocab.getty.edu/aat/300375504,Linum usitatissimum (species)
http://vocab.getty.edu/aat/300375505,Linum (genus)
http://vocab.getty.edu/aat/300375524,Edgeworthia (genus)
http://vocab.getty.edu/aat/300311142,Wikstroemia canescens (species)
http://vocab.getty.edu/aat/300375510,Cannabis sativa (species)
http://vocab.getty.edu/aat/300375518,Corchorus capsularis (species)
http://vocab.getty.edu/aat/300311144,Broussonetia papyrifera (species)
http://vocab.getty.edu/aat/300375521,Ceiba pentandra (species)
http://vocab.getty.edu/aat/300375523,Edgeworthia chrysantha (species)
http://vocab.getty.edu/aat/300375526,Boehmeria nivea (species)
http://vocab.getty.edu/aat/300375528,Sorghum bicolor (species)
http://vocab.getty.edu/aat/300375531,Corypha umbraculifera (species)
http://vocab.getty.edu/aat/300375533,Cicer arietinum (species)
http://vocab.getty.edu/aat/300375537,Ceratonia siliqua (species)
http://vocab.getty.edu/aat/300375540,Sterculia urens (species)
http://vocab.getty.edu/aat/300375542,Astragalus gummifer (species)
http://vocab.getty.edu/aat/300375545,Maranta arundinacea (species)
http://vocab.getty.edu/aat/300375546,Maranta (genus)
http://vocab.getty.edu/aat/300375548,Manihot esculenta (species)
http://vocab.getty.edu/aat/300375554,Acanthus spinosus (species)
http://vocab.getty.edu/aat/300375553,Acanthus (genus)
http://vocab.getty.edu/aat/300375556,Arctium (genus)
http://vocab.getty.edu/aat/300375557,Asteraceae (family)
http://vocab.getty.edu/aat/300375559,Dianthus caryophyllus (species)
http://vocab.getty.edu/aat/300375560,Dianthus (genus)
http://vocab.getty.edu/aat/300435265,Amaranthaceae (family)
http://vocab.getty.edu/aat/300375565,Lonicera periclymenum (species)
http://vocab.getty.edu/aat/300375566,Lonicera (genus)
http://vocab.getty.edu/aat/300375567,Caprifoliaceae (family)
http://vocab.getty.edu/aat/300375574,Nymphaea caerulea (species)
http://vocab.getty.edu/aat/300375575,Nymphaea (genus)
http://vocab.getty.edu/aat/300375580,Nelumbonaceae (family)
http://vocab.getty.edu/aat/300375578,Nelumbo nucifera (species)
http://vocab.getty.edu/aat/300375579,Nelumbo (genus)
http://vocab.getty.edu/aat/300375582,Ananas comosus (species)
http://vocab.getty.edu/aat/300375584,Ananas (genus)
http://vocab.getty.edu/aat/300375587,Asplenium scolopendrium (species)
http://vocab.getty.edu/aat/300375588,Asplenium (genus)
http://vocab.getty.edu/aat/300311560,Polypodiales (order)
http://vocab.getty.edu/aat/300375491,Alismatales (order)
http://vocab.getty.edu/aat/300374888,Aquifoliales (order)
http://vocab.getty.edu/aat/300375591,Lilium (genus)
http://vocab.getty.edu/aat/300375594,Liliaceae (family)
http://vocab.getty.edu/aat/300375596,Hydrophyllum (genus)
http://vocab.getty.edu/aat/300311397,Rhamnus (genus)
http://vocab.getty.edu/aat/300378960,Pistacia lentiscus (species)
http://vocab.getty.edu/aat/300375608,Myroxylon balsamum (species)
http://vocab.getty.edu/aat/300375585,Bromeliaceae (family)
http://vocab.getty.edu/aat/300375070,Reseda luteola (species)
http://vocab.getty.edu/aat/300375087,Reseda (genus)
http://vocab.getty.edu/aat/300390541,Brassicaceae (family)
http://vocab.getty.edu/aat/300375166,Andira aubletii (species)
http://vocab.getty.edu/aat/300379798,branches (plant components)
http://vocab.getty.edu/aat/300375179,Pyrus communis (species)
http://vocab.getty.edu/aat/300375183,Paratecoma peroba (species)
http://vocab.getty.edu/aat/300375193,Platanus acerifolia (species)
http://vocab.getty.edu/aat/300375190,Platanaceae (family)
http://vocab.getty.edu/aat/300375188,Platanus (genus)
http://vocab.getty.edu/aat/300375217,aspen (trees)
http://vocab.getty.edu/aat/300389699,café-style shutters
http://vocab.getty.edu/aat/300443458,puteals
http://vocab.getty.edu/aat/300375319,Apocynaceae (family)
http://vocab.getty.edu/aat/300417448,Alstonia (genus)
http://vocab.getty.edu/aat/300375184,Aspidosperma polyneuron (species)
http://vocab.getty.edu/aat/300435604,"Cotinus (Cotinus, genus)"
http://vocab.getty.edu/aat/300375315,Schinopsis lorentzii (species)
http://vocab.getty.edu/aat/300375324,Tieghemella heckelii (species)
http://vocab.getty.edu/aat/300391506,Palaquium (genus)
http://vocab.getty.edu/aat/300375379,Dalbergia cearensis (species)
http://vocab.getty.edu/aat/300375339,Brya ebenus (species)
http://vocab.getty.edu/aat/300375352,Brosimum guianense (species)
http://vocab.getty.edu/aat/300375347,Chloroxylon swietenia (species)
http://vocab.getty.edu/aat/300375350,Zanthoxylum flavum (species)
http://vocab.getty.edu/aat/300375355,Sassafras albidum (species)
http://vocab.getty.edu/aat/300375367,Tectona (genus)
http://vocab.getty.edu/aat/300375360,Tectona grandis (species)
http://vocab.getty.edu/aat/300375373,Lovoa trichilioides (species)
http://vocab.getty.edu/aat/300375376,Liriodendron tulipifera (species)
http://vocab.getty.edu/aat/300375393,Salix alba (species)
http://vocab.getty.edu/aat/300375389,Salix lucida ssp caudata (subspecies)
http://vocab.getty.edu/aat/300375395,Arecaceae (family)
http://vocab.getty.edu/aat/300375396,Calamus (genus)
http://vocab.getty.edu/aat/300375398,Zea mays (species)
http://vocab.getty.edu/aat/300264248,clove (flower bud)
http://vocab.getty.edu/aat/300375401,Syzygium aromaticum (species)
http://vocab.getty.edu/aat/300375547,Marantaceae (family)
http://vocab.getty.edu/aat/300375404,Musa (genus)
http://vocab.getty.edu/aat/300375513,Musa textilis (species)
http://vocab.getty.edu/aat/300375416,blackberry (fruit)
http://vocab.getty.edu/aat/300448624,figs (fruits)
http://vocab.getty.edu/aat/300375420,Vaccinium corymbosum (species)
http://vocab.getty.edu/aat/300375427,Rubus fruticosus (species)
http://vocab.getty.edu/aat/300375429,Cocos nucifera (species)
http://vocab.getty.edu/aat/300375431,Mangifera indica (species)
http://vocab.getty.edu/aat/300311369,Olea europaea (species)
http://vocab.getty.edu/aat/300375440,Parrotia (genus)
http://vocab.getty.edu/aat/300375438,Parrotia persica (species)
http://vocab.getty.edu/aat/300375441,Gleditsia triacanthos (species)
http://vocab.getty.edu/aat/300375472,Macrochloa tenacissima (species)
http://vocab.getty.edu/aat/300374870,Altingiaceae (family)
http://vocab.getty.edu/aat/300374867,Liquidambar (genus)
http://vocab.getty.edu/aat/300374874,Celtis australis (species)
http://vocab.getty.edu/aat/300375511,Cannabis (genus)
http://vocab.getty.edu/aat/300375527,Boehmeria (genus)
http://vocab.getty.edu/aat/300412030,Ilex paraguariensis (species)
http://vocab.getty.edu/aat/300374886,Ilex (genus)
http://vocab.getty.edu/aat/300374887,Aquifoliaceae (family)
http://vocab.getty.edu/aat/300374890,Carpinus betulus (species)
http://vocab.getty.edu/aat/300374893,Ostrya carpinifolia (species)
http://vocab.getty.edu/aat/300343638,Ochroma lagopus (species)
http://vocab.getty.edu/aat/300419462,Azadirachta (genus)
http://vocab.getty.edu/aat/300343706,Cedrela oaxacensis (species)
http://vocab.getty.edu/aat/300343640,Melia azedarach (species)
http://vocab.getty.edu/aat/300343716,Chamaecyparis nootkatensis (species)
http://vocab.getty.edu/aat/300343657,Maclura pomifera (species)
http://vocab.getty.edu/aat/300343650,Arbutus menziesii (species)
http://vocab.getty.edu/aat/300374915,Arbutus (genus)
http://vocab.getty.edu/aat/300343669,Santalum (genus)
http://vocab.getty.edu/aat/300374919,Santalaceae (family)
http://vocab.getty.edu/aat/300343915,Casearia praecox (species)
http://vocab.getty.edu/aat/300374962,Clusiaceae (family)
http://vocab.getty.edu/aat/300374935,Casearia (genus)
http://vocab.getty.edu/aat/300374940,Corymbia calophylla (species)
http://vocab.getty.edu/aat/300374948,Crataegus monogyna (species)
http://vocab.getty.edu/aat/300374951,Carya cordiformis (species)
http://vocab.getty.edu/aat/300311535,Garcinia (genus)
http://vocab.getty.edu/aat/300374964,Mesua ferrea (species)
http://vocab.getty.edu/aat/300374967,Rubiaceae (family)
http://vocab.getty.edu/aat/300374998,Calycophyllum (genus)
http://vocab.getty.edu/aat/300374965,Ixora ferrea (species)
http://vocab.getty.edu/aat/300375512,Hibiscus cannabinus (species)
http://vocab.getty.edu/aat/300374984,Mezilaurus itaúba (species)
http://vocab.getty.edu/aat/300374990,Annonaceae (family)
http://vocab.getty.edu/aat/300374991,Oxandra (genus)
http://vocab.getty.edu/aat/300374988,Oxandra lanceolata (species)
http://vocab.getty.edu/aat/300375056,Hopea (genus)
http://vocab.getty.edu/aat/300374996,Laurus nobilis (species)
http://vocab.getty.edu/aat/300374997,Calycophyllum candidissimum (species)
http://vocab.getty.edu/aat/300375348,Chloroxylon (genus)
http://vocab.getty.edu/aat/300375406,Citrus aurantifolia (species)
http://vocab.getty.edu/aat/300375003,Zygophyllaceae (family)
