x,l
http://vocab.getty.edu/aat/300002330,gargoyles
http://vocab.getty.edu/aat/300007009,rostral columns
http://vocab.getty.edu/aat/300391013,web suspension (helmet liners)
http://vocab.getty.edu/aat/300266806,bemas
http://vocab.getty.edu/aat/300446448,mañca
http://vocab.getty.edu/aat/300380255,tuyeres
http://vocab.getty.edu/aat/300265393,cellular telephones
http://vocab.getty.edu/aat/300389982,walkie-talkies
http://vocab.getty.edu/aat/300204729,sandpainting rugs
http://vocab.getty.edu/aat/300033325,bolts (fasteners)
http://vocab.getty.edu/aat/300033367,hinges (hardware)
http://vocab.getty.edu/aat/300080839,securing devices
http://vocab.getty.edu/aat/300248050,brassards (military armbands)
http://vocab.getty.edu/aat/300247682,Trombe walls
http://vocab.getty.edu/aat/300248085,bits (bridle components)
http://vocab.getty.edu/aat/300299547,fire doors
http://vocab.getty.edu/aat/300012861,cellulose (complex carbohydrate)
http://vocab.getty.edu/aat/300248126,cellophane
http://vocab.getty.edu/aat/300411370,deck cabins
http://vocab.getty.edu/aat/300248218,badgirs
http://vocab.getty.edu/aat/300248196,tracks (transit system elements)
http://vocab.getty.edu/aat/300007924,sidings (transit system component)
http://vocab.getty.edu/aat/300404129,railroad sidings
http://vocab.getty.edu/aat/300248257,box offices
http://vocab.getty.edu/aat/300247713,cases (ammunition components)
http://vocab.getty.edu/aat/300443514,chīwěi
http://vocab.getty.edu/aat/300003432,<architectural moldings by form>
http://vocab.getty.edu/aat/300212613,<aircraft and spacecraft components>
http://vocab.getty.edu/aat/300210479,collar buttons
http://vocab.getty.edu/aat/300212107,latchets
http://vocab.getty.edu/aat/300212062,agrafes (clasps)
http://vocab.getty.edu/aat/300010730,tesserae (mosaic components)
http://vocab.getty.edu/aat/300241583,components (objects parts)
http://vocab.getty.edu/aat/300055458,additions (general components)
http://vocab.getty.edu/aat/300241581,<components by general context>
http://vocab.getty.edu/aat/300264237,material components
http://vocab.getty.edu/aat/300186754,<coverings and hangings components>
http://vocab.getty.edu/aat/300050611,electrical system components
http://vocab.getty.edu/aat/300080539,fire alarm system components
http://vocab.getty.edu/aat/300187635,Indo-Herat carpets
http://vocab.getty.edu/aat/300421541,beer taps
http://vocab.getty.edu/aat/300186007,asmalyks
http://vocab.getty.edu/aat/300237973,fore-and-aft rigs
